rup_mag,rup_hypo_depth,dist_rrup,site_vs30,result_type,damping,pga,0.1,0.2,1,2
5.5,50,50.2494,761,MEAN,5,0.0292742,0.0616713,0.0599526,0.0077645,0.00166385
5.5,50,52.2015,761,MEAN,5,0.02714,0.0571317,0.0556068,0.0072078,0.00154834
5.5,50,55.9017,761,MEAN,5,0.0236651,0.049745,0.0485284,0.0063005,0.00135975
5.5,50,61.0328,761,MEAN,5,0.0198136,0.0415658,0.0406784,0.0052931,0.00114978
5.5,50,67.2681,761,MEAN,5,0.0162301,0.0339652,0.0333688,0.0043538,0.000953244
5.5,50,74.3303,761,MEAN,5,0.0131823,0.0275111,0.0271467,0.0035529,0.000784857
5.5,50,82.0061,761,MEAN,5,0.0107042,0.0222723,0.0220824,0.0028998,0.000646816
5.5,50,90.1388,761,MEAN,5,0.00872945,0.0181059,0.0180422,0.0023777,0.000535828
5.5,50,98.6154,761,MEAN,5,0.0071657,0.0148131,0.0148392,0.0019628,0.000447116
5.5,50,107.355,761,MEAN,5,0.00592612,0.012209,0.0122968,0.0016328,0.000376094
5.5,50,116.297,761,MEAN,5,0.0049384,0.0101386,0.0102686,0.0013688,0.000318889
5.5,50,125.399,761,MEAN,5,0.00414611,0.00848164,0.00863889,0.0011562,0.000272466
5.5,50,134.629,761,MEAN,5,0.00350517,0.00714488,0.00731922,0.0009835,0.000234502
5.5,50,143.962,761,MEAN,5,0.00298287,0.00605783,0.00624198,0.0008422,0.000203187
5.5,50,153.379,761,MEAN,5,0.00255371,0.00516751,0.00535548,0.0007256,0.000177168
5.5,50,162.865,761,MEAN,5,0.00219865,0.00443219,0.00462083,0.0006286,0.000155344
5.5,50,172.409,761,MEAN,5,0.00190247,0.00382088,0.00400729,0.0005474,0.000136943
5.5,50,182.003,761,MEAN,5,0.00165397,0.00330963,0.00349151,0.000479,0.000121254
5.5,50,191.638,761,MEAN,5,0.0014442,0.0028787,0.00305555,0.0004209,0.000107889
5.5,50,201.308,761,MEAN,5,0.001266,0.00251428,0.00268443,0.0003714,9.63316E-005
6,50,50.2494,761,MEAN,5,0.069016,0.141384,0.141513,0.0227355,0.00558065
6,50,52.2015,761,MEAN,5,0.0641069,0.131228,0.131506,0.0211455,0.00520307
6,50,55.9017,761,MEAN,5,0.0560804,0.114634,0.115138,0.0185433,0.00458402
6,50,61.0328,761,MEAN,5,0.0471336,0.0961536,0.0968824,0.0156379,0.00389078
6,50,67.2681,761,MEAN,5,0.0387588,0.0788778,0.079782,0.0129126,0.00323796
6,50,74.3303,761,MEAN,5,0.0315955,0.0641236,0.0651421,0.0105756,0.00267559
6,50,82.0061,761,MEAN,5,0.0257413,0.0520863,0.0531654,0.0086601,0.00221227
6,50,90.1388,761,MEAN,5,0.021055,0.0424688,0.0435676,0.0071219,0.00183811
6,50,98.6154,761,MEAN,5,0.0173295,0.0348392,0.0359287,0.0058949,0.00153776
6,50,107.355,761,MEAN,5,0.0143661,0.0287833,0.0298447,0.0049154,0.00129647
6,50,116.297,761,MEAN,5,0.011998,0.0239546,0.0249761,0.0041296,0.00110162
6,50,125.399,761,MEAN,5,0.0100926,0.020079,0.0210538,0.003495,0.000943107
6,50,134.629,761,MEAN,5,0.00854811,0.0169453,0.0178698,0.0029784,0.000813137
6,50,143.962,761,MEAN,5,0.00728637,0.0143915,0.015265,0.0025546,0.0007057
6,50,153.379,761,MEAN,5,0.00624782,0.0122946,0.0131175,0.0022043,0.000616212
6,50,162.865,761,MEAN,5,0.00538659,0.0105608,0.0113339,0.0019125,0.000541123
6,50,172.409,761,MEAN,5,0.00466729,0.00911662,0.00984203,0.0016677,0.00047759
6,50,182.003,761,MEAN,5,0.00406283,0.00790613,0.00858641,0.001461,0.000423485
6,50,191.638,761,MEAN,5,0.00355173,0.00688531,0.00752274,0.0012855,0.000377191
6,50,201.308,761,MEAN,5,0.00311697,0.00601978,0.00661669,0.0011354,0.00033729
6.5,50,50.2494,761,MEAN,5,0.156987,0.312613,0.32235,0.0642709,0.0180925
6.5,50,52.2015,761,MEAN,5,0.146428,0.291373,0.3008,0.0600234,0.0169371
6.5,50,55.9017,761,MEAN,5,0.128986,0.256306,0.265187,0.053,0.0150232
6.5,50,61.0328,761,MEAN,5,0.109275,0.216716,0.224921,0.0450506,0.0128507
6.5,50,67.2681,761,MEAN,5,0.090561,0.179174,0.186663,0.0374873,0.010776
6.5,50,74.3303,761,MEAN,5,0.074343,0.146689,0.153479,0.0309165,0.00896543
6.5,50,82.0061,761,MEAN,5,0.0609378,0.119884,0.126023,0.0254699,0.00745692
6.5,50,90.1388,761,MEAN,5,0.0501046,0.0982621,0.103811,0.0210544,0.00622714
6.5,50,98.6154,761,MEAN,5,0.0414237,0.0809721,0.0859914,0.0175044,0.00523245
6.5,50,107.355,761,MEAN,5,0.0344725,0.0671564,0.0717041,0.0146515,0.0044279
6.5,50,116.297,761,MEAN,5,0.0288862,0.0560782,0.060207,0.0123501,0.00377456
6.5,50,125.399,761,MEAN,5,0.0243703,0.0471442,0.0509001,0.0104824,0.0032406
6.5,50,134.629,761,MEAN,5,0.0206945,0.03989,0.0433144,0.008956,0.00280111
6.5,50,143.962,761,MEAN,5,0.0176808,0.0339573,0.0370859,0.0076994,0.00243657
6.5,50,153.379,761,MEAN,5,0.0151922,0.0290711,0.031935,0.0066572,0.00213189
6.5,50,162.865,761,MEAN,5,0.0131227,0.0250182,0.0276448,0.0057868,0.00187543
6.5,50,172.409,761,MEAN,5,0.0113904,0.0216348,0.0240477,0.0050548,0.00165811
6.5,50,182.003,761,MEAN,5,0.00993097,0.0187921,0.0210129,0.0044354,0.00147261
6.5,50,191.638,761,MEAN,5,0.0086943,0.0163903,0.018437,0.0039081,0.00131345
6.5,50,201.308,761,MEAN,5,0.00764053,0.0143498,0.0162386,0.0034566,0.001176
7,50,50.2494,761,MEAN,5,0.321206,0.622064,0.661965,0.164979,0.0534506
7,50,52.2015,761,MEAN,5,0.303598,0.587114,0.625452,0.155552,0.050508
7,50,55.9017,761,MEAN,5,0.272859,0.526543,0.562093,0.139564,0.0455088
7,50,61.0328,761,MEAN,5,0.235515,0.453644,0.485688,0.120841,0.039639
7,50,67.2681,761,MEAN,5,0.198766,0.381992,0.41045,0.10238,0.0338306
7,50,74.3303,761,MEAN,5,0.165847,0.317901,0.342997,0.0858043,0.0285926
7,50,82.0061,761,MEAN,5,0.137849,0.26348,0.285572,0.0716671,0.0241032
7,50,90.1388,761,MEAN,5,0.114676,0.21852,0.237992,0.0599304,0.0203559
7,50,98.6154,761,MEAN,5,0.095738,0.18185,0.199064,0.0503075,0.0172653
7,50,107.355,761,MEAN,5,0.0803262,0.15207,0.167345,0.0424487,0.0147254
7,50,116.297,761,MEAN,5,0.0677739,0.12787,0.141479,0.0360245,0.0126357
7,50,125.399,761,MEAN,5,0.0575141,0.108135,0.120307,0.0307532,0.010909
7,50,134.629,761,MEAN,5,0.0490849,0.0919602,0.10289,0.0264053,0.00947472
7,50,143.962,761,MEAN,5,0.0421198,0.0786281,0.0884767,0.0227977,0.00827593
7,50,153.379,761,MEAN,5,0.0363293,0.0675724,0.0764762,0.0197857,0.00726742
7,50,162.865,761,MEAN,5,0.0314858,0.0583496,0.0664235,0.0172555,0.00641367
7,50,172.409,761,MEAN,5,0.0274107,0.0506103,0.0579522,0.0151171,0.00568634
7,50,182.003,761,MEAN,5,0.0239626,0.0440795,0.0507728,0.0132995,0.00506316
7,50,191.638,761,MEAN,5,0.0210292,0.0385394,0.0446558,0.011746,0.00452617
7,50,201.308,761,MEAN,5,0.0185212,0.0338158,0.0394168,0.0104116,0.00406097
7.5,50,50.2494,761,MEAN,5,0.509996,0.96445,1.06411,0.341408,0.12852
7.5,50,52.2015,761,MEAN,5,0.490965,0.9271,1.02383,0.327587,0.123545
7.5,50,55.9017,761,MEAN,5,0.456681,0.860035,0.951433,0.302979,0.114673
7.5,50,61.0328,761,MEAN,5,0.412998,0.774992,0.859505,0.272141,0.103529
7.5,50,67.2681,761,MEAN,5,0.365715,0.683455,0.760378,0.23938,0.0916518
7.5,50,74.3303,761,MEAN,5,0.319229,0.593986,0.663277,0.207756,0.0801428
7.5,50,82.0061,761,MEAN,5,0.27575,0.510988,0.572948,0.178968,0.0696186
7.5,50,90.1388,761,MEAN,5,0.23566,0.435473,0.490459,0.153683,0.0603283
7.5,50,98.6154,761,MEAN,5,0.201292,0.370856,0.419667,0.13194,0.0522952
7.5,50,107.355,761,MEAN,5,0.172178,0.316229,0.35963,0.11346,0.0454274
7.5,50,116.297,761,MEAN,5,0.14766,0.270322,0.309007,0.0978422,0.0395868
7.5,50,125.399,761,MEAN,5,0.127051,0.231819,0.266399,0.0846657,0.0346267
7.5,50,134.629,761,MEAN,5,0.109716,0.199509,0.230514,0.0735401,0.0304098
7.5,50,143.962,761,MEAN,5,0.0951049,0.172341,0.200223,0.0641248,0.0268157
7.5,50,153.379,761,MEAN,5,0.0827503,0.149426,0.174574,0.0561308,0.0237418
7.5,50,162.865,761,MEAN,5,0.0722657,0.130029,0.152775,0.0493181,0.0211022
7.5,50,172.409,761,MEAN,5,0.0633332,0.113546,0.134176,0.0434885,0.0188261
7.5,50,182.003,761,MEAN,5,0.0556927,0.0994858,0.118241,0.0384799,0.0168549
7.5,50,191.638,761,MEAN,5,0.0491308,0.0874434,0.104535,0.0341589,0.0151405
7.5,50,201.308,761,MEAN,5,0.0434733,0.0770895,0.0926983,0.0304161,0.0136433
8,50,50.2494,761,MEAN,5,0.590402,1.07807,1.24617,0.50945,0.227598
8,50,52.2015,761,MEAN,5,0.578841,1.05593,1.22136,0.498472,0.222984
8,50,55.9017,761,MEAN,5,0.556904,1.01402,1.17437,0.477799,0.214286
8,50,61.0328,761,MEAN,5,0.526679,0.956481,1.10978,0.449648,0.202421
8,50,67.2681,761,MEAN,5,0.490706,0.888302,1.03313,0.416625,0.188467
8,50,74.3303,761,MEAN,5,0.451523,0.814413,0.949905,0.381222,0.17346
8,50,82.0061,761,MEAN,5,0.411334,0.739034,0.864821,0.345492,0.158257
8,50,90.1388,761,MEAN,5,0.371847,0.665376,0.781474,0.310926,0.143487
8,50,98.6154,761,MEAN,5,0.334247,0.595611,0.70232,0.278477,0.129556
8,50,107.355,761,MEAN,5,0.299253,0.531025,0.628824,0.248659,0.116688
8,50,116.297,761,MEAN,5,0.266303,0.470922,0.560153,0.221668,0.104974
8,50,125.399,761,MEAN,5,0.236066,0.416226,0.497413,0.197489,0.0944189
8,50,134.629,761,MEAN,5,0.209262,0.367841,0.441726,0.175979,0.0849697
8,50,143.962,761,MEAN,5,0.185611,0.325243,0.392526,0.156929,0.0765463
8,50,153.379,761,MEAN,5,0.164799,0.287844,0.349175,0.140101,0.0690546
8,50,162.865,761,MEAN,5,0.14651,0.255059,0.311027,0.125255,0.0623984
8,50,172.409,761,MEAN,5,0.130446,0.226333,0.277471,0.112161,0.0564849
8,50,182.003,761,MEAN,5,0.116331,0.201156,0.247944,0.100607,0.0512276
8,50,191.638,761,MEAN,5,0.103918,0.179074,0.221938,0.0904028,0.0465484
8,50,201.308,761,MEAN,5,0.0929893,0.159682,0.199005,0.0813783,0.0423777
