rup_mag,rup_rake,dist_rrup,site_vs30,site_z1pt0,result_type,damping,rsd575,rsd595,rsd2080
4.5,-90.0,1.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,-90.0,20.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,-90.0,50.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,-90.0,200.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,-90.0,1.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,-90.0,20.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,-90.0,50.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,-90.0,200.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,-90.0,1.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,-90.0,20.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,-90.0,50.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,-90.0,200.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,1.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,20.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,50.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,200.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,1.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,20.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,50.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,200.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,1.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,20.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,50.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,200.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,1.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,20.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,50.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,200.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,1.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,20.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,50.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,200.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,1.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,20.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,50.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,200.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,1.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,20.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,50.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,200.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,1.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,20.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,50.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,200.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,1.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,20.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,50.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,200.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,1.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,20.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,50.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,200.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,1.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,20.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,50.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,200.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,1.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,20.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,50.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,-90.0,200.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,1.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,20.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,50.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,200.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,1.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,20.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,50.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,200.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,1.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,20.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,50.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,200.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,1.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,20.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,50.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,200.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,1.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,20.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,50.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,200.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,1.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,20.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,50.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,200.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,1.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,20.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,50.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,200.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,1.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,20.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,50.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,200.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,1.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,20.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,50.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,200.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,1.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,20.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,50.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,200.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,1.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,20.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,50.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,200.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,1.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,20.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,50.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
6.5,-90.0,200.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
7.5,-90.0,1.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,20.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,50.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,200.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,1.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,20.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,50.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,200.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,1.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,20.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,50.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,200.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,1.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,20.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,50.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,200.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,1.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,20.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,50.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,200.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,1.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,20.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,50.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,200.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,1.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,20.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,50.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,200.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,1.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,20.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,50.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,200.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,1.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,20.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,50.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,200.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,1.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,20.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,50.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,200.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,1.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,20.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,50.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,200.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,1.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,20.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,50.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
7.5,-90.0,200.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.25000000,0.19000000,0.19000000
4.5,90.0,1.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,20.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,50.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,200.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,1.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,20.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,50.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,200.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,1.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,20.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,50.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,200.0,500.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,1.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,20.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,50.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,200.0,800.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,1.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,20.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,50.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,200.0,180.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,1.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,20.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,50.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,200.0,360.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,1.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,20.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,50.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,200.0,500.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,1.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,20.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,50.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,200.0,800.0,500.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,1.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,20.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,50.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,200.0,180.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,1.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,20.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,50.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,200.0,360.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,1.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,20.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,50.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,200.0,500.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,1.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,20.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,50.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
4.5,90.0,200.0,800.0,1000.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,90.0,1.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,90.0,20.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,90.0,50.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,90.0,200.0,180.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,90.0,1.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,90.0,20.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
5.5,90.0,50.0,360.0,100.0,INTER_EVENT_STDDEV,5,0.28000000,0.25000000,0.30000000
